001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,accuracy,macro avg,weighted avg
1.0,1.0,0.25,0.5,1.0,0.3333333333333333,0.2,0.5,0.0,1.0,0.0,0.6666666666666666,0.2,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.2,0.25,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.2,0.0,0.0,0.25,0.25,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.0,0.0,0.5,1.0,0.25,0.0,0.5,0.0,0.0,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,0.0,0.0,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,0.0,0.25,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.3333333333333333,1.0,0.0,0.5,0.25,0.3333333333333333,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.3289760348583878,0.31488406881077036,0.3214493204689284
1.0,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.5,0.5,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.3333333333333333,0.0,0.5,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.6666666666666666,0.5,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.5,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.5,0.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3289760348583878,0.32984293193717273,0.3289760348583878
1.0,0.6666666666666666,0.28571428571428575,0.6666666666666666,1.0,0.3333333333333333,0.28571428571428575,0.5714285714285715,0.0,1.0,0.0,0.6666666666666666,0.28571428571428575,0.6666666666666666,0.6666666666666666,0.8,0.5,0.0,0.0,0.6666666666666666,0.8,0.8,0.0,0.0,0.28571428571428575,0.3333333333333333,0.0,0.4,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.5714285714285715,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.4,0.8,0.28571428571428575,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,0.4,1.0,0.8,0.0,0.0,0.5,1.0,0.4,0.0,0.5,0.0,0.0,0.8,1.0,1.0,0.5,0.6666666666666666,0.0,0.0,0.7499999999999999,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28571428571428575,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.8,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.6666666666666666,0.0,0.4,0.28571428571428575,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.4,0.8,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.4,0.5,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.8,0.5,0.4,0.8,0.0,0.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.4444444444444444,0.0,0.4,0.0,0.6666666666666666,0.8,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.0,0.0,0.3289760348583878,0.3063907587467797,0.3098454196493412
3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.3289760348583878,459.0,459.0
