BAR,BRI,BUB,GRA,LEA,PIG,RAF,SAN,STR,WAT,WEA,WOL,WOO,accuracy,macro avg,weighted avg
0.0,0.2,0.25,0.0,0.0,1.0,0.0,1.0,0.0,0.16666666666666666,1.0,0.0,1.0,0.3684210526315789,0.35512820512820514,0.2429824561403509
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.3684210526315789,0.5384615384615384,0.3684210526315789
0.0,0.33333333333333337,0.4,0.0,0.0,1.0,0.0,1.0,0.0,0.2857142857142857,1.0,0.0,1.0,0.3684210526315789,0.3860805860805861,0.26416040100250626
2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.3684210526315789,19.0,19.0
