BL1,BL2,CAN,CE1,CE2,CUS,FL1,FL2,GRA,LEN,LIN,OAT,PEA,RI1,RI2,RUG,SAN,SC1,SC2,SCR,SE1,SE2,SES,ST1,ST2,ST3,STL,WAL,accuracy,macro avg,weighted avg
0.125,0.0,0.0,0.047619047619047616,0.3103448275862069,0.07425742574257425,0.10526315789473684,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08235294117647059,0.06896551724137931,0.0,0.0,0.0,0.0,0.08816964285714286,0.03231114314891094,0.03231114314891094
0.625,0.0,0.0,0.3125,0.28125,0.46875,0.0625,0.0,0.0,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0625,0.0,0.0,0.0,0.0,0.08816964285714286,0.08816964285714286,0.08816964285714286
0.20833333333333334,0.0,0.0,0.08264462809917356,0.2950819672131148,0.1282051282051282,0.0784313725490196,0.0,0.0,0.12844036697247704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386138613861386,0.06557377049180328,0.0,0.0,0.0,0.0,0.08816964285714286,0.04019015815179244,0.04019015815179244
32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.08816964285714286,896.0,896.0
