BAR,BRI,BUI,CLO,FAB,FLO,FOO,GRA,LEA,MET,MIS,PAI,SAN,STO,TER,TIL,WAT,WHE,WOO,accuracy,macro avg,weighted avg
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.3333333333333333,0.14705882352941177,0.12280701754385966,0.19362745098039214
0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.14705882352941177,0.13596491228070173,0.14705882352941177
0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.28571428571428575,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.14705882352941177,0.106265664160401,0.13599439775910363
3.0,2.0,2.0,0.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.14705882352941177,34.0,34.0
