BAR,BRI,BUI,CLO,FAB,FLO,FOO,GRA,LEA,MET,MIS,PAI,SAN,STO,TER,TIL,WAT,WHE,WOO,accuracy,macro avg,weighted avg
0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.23529411764705882,0.15789473684210525,0.14705882352941177
0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.23529411764705882,0.23684210526315788,0.23529411764705882
0.0,0.4,0.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.4,0.0,1.0,0.23529411764705882,0.18421052631578946,0.17647058823529413
3.0,2.0,2.0,0.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.23529411764705882,34.0,34.0
