BAR,BRI,BUB,GRA,LEA,PIG,RAF,SAN,STR,WAT,WEA,WOL,WOO,accuracy,macro avg,weighted avg
1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.7894736842105263,0.7564102564102563,0.7192982456140351
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.7894736842105263,0.8076923076923077,0.7894736842105263
0.6666666666666666,1.0,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,0.8,0.0,1.0,0.0,1.0,0.7894736842105263,0.7641025641025642,0.7298245614035087
2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.7894736842105263,19.0,19.0
