BAR,BRI,BUI,FAB,FLO,FOO,GRA,LEA,MET,MIS,PAI,SAN,STO,TER,TIL,WAT,WHE,WOO,accuracy,macro avg,weighted avg
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2647058823529412,0.05972222222222222,0.08602941176470588
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2647058823529412,0.16666666666666666,0.2647058823529412
0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.2647058823529412,0.08585858585858586,0.1265597147950089
3.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.2647058823529412,34.0,34.0
