BAR,BRI,BUB,GRA,LEA,PIG,RAF,SAN,STR,WAT,WEA,WOL,WOO,accuracy,macro avg,weighted avg
0.5,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,1.0,0.7894736842105263,0.782051282051282,0.8070175438596491
0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.7894736842105263,0.7692307692307693,0.7894736842105263
0.5,1.0,0.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.7894736842105263,0.7666666666666667,0.7859649122807018
2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.7894736842105263,19.0,19.0
