BAR,BRI,BUB,GRA,LEA,PIG,RAF,SAN,STR,WAT,WEA,WOL,WOO,accuracy,macro avg,weighted avg
1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.7894736842105263,0.7179487179487178,0.7543859649122807
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.7894736842105263,0.8076923076923077,0.7894736842105263
1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.5,1.0,0.6666666666666666,1.0,0.7894736842105263,0.7307692307692307,0.7456140350877193
2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.7894736842105263,19.0,19.0
