BL1,BL2,CAN,CE1,CE2,CUS,FL1,FL2,GRA,LEN,LIN,OAT,PEA,RI1,RI2,RUG,SAN,SC1,SC2,SCR,SE1,SE2,SES,ST1,ST2,ST3,STL,WAL,accuracy,macro avg,weighted avg
0.42105263157894735,0.0,0.4098360655737705,0.37209302325581395,0.08333333333333333,0.0,0.3047619047619048,1.0,0.10810810810810811,0.0,0.08888888888888889,0.10638297872340426,0.0,0.5,0.16417910447761194,0.0392156862745098,0.20270270270270271,0.125,0.5333333333333333,1.0,0.8,0.7142857142857143,0.15,0.046511627906976744,0.0,0.0,1.0,0.0,0.29575892857142855,0.2917744679716079,0.2917744679716079
1.0,0.0,0.78125,0.5,0.0625,0.0,1.0,0.9375,0.125,0.0,0.125,0.15625,0.0,0.3125,0.34375,0.0625,0.46875,0.0625,0.75,0.03125,0.25,0.625,0.28125,0.0625,0.0,0.0,0.34375,0.0,0.29575892857142855,0.29575892857142855,0.29575892857142855
0.5925925925925926,0.0,0.5376344086021505,0.42666666666666664,0.07142857142857144,0.0,0.4671532846715329,0.967741935483871,0.11594202898550725,0.0,0.10389610389610389,0.12658227848101267,0.0,0.38461538461538464,0.2222222222222222,0.04819277108433735,0.2830188679245283,0.08333333333333333,0.6233766233766235,0.06060606060606061,0.38095238095238093,0.6666666666666666,0.19565217391304346,0.05333333333333333,0.0,0.0,0.5116279069767442,0.0,0.29575892857142855,0.2472584141361667,0.2472584141361667
32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.29575892857142855,896.0,896.0
