BL1,BL2,CAN,CE1,CE2,CUS,FL1,FL2,GRA,LEN,LIN,OAT,PEA,RI1,RI2,RUG,SAN,SC1,SC2,SCR,SE1,SE2,SES,ST1,ST2,ST3,STL,WAL,accuracy,macro avg,weighted avg
0.7837837837837838,0.7878787878787878,1.0,1.0,1.0,0.96875,0.9032258064516129,1.0,0.9,0.7714285714285715,0.8484848484848485,0.90625,0.8235294117647058,0.9032258064516129,1.0,0.8125,0.8333333333333334,0.9411764705882353,0.9,1.0,0.875,0.9696969696969697,0.8076923076923077,0.8571428571428571,0.6470588235294118,0.6551724137931034,0.9666666666666667,0.8378378378378378,0.8805803571428571,0.8821369534473088,0.8821369534473088
0.90625,0.8125,0.96875,0.90625,1.0,0.96875,0.875,0.96875,0.84375,0.84375,0.875,0.90625,0.875,0.875,0.96875,0.8125,0.78125,1.0,0.84375,1.0,0.875,1.0,0.65625,0.9375,0.6875,0.59375,0.90625,0.96875,0.8805803571428571,0.8805803571428571,0.8805803571428571
0.8405797101449275,0.8,0.9841269841269841,0.9508196721311475,1.0,0.96875,0.8888888888888888,0.9841269841269841,0.870967741935484,0.8059701492537314,0.8615384615384615,0.90625,0.8484848484848485,0.8888888888888888,0.9841269841269841,0.8125,0.8064516129032259,0.9696969696969697,0.870967741935484,1.0,0.875,0.9846153846153847,0.7241379310344829,0.8955223880597014,0.6666666666666667,0.6229508196721311,0.9354838709677419,0.8985507246376812,0.8805803571428571,0.8802165508513141,0.8802165508513141
32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.8805803571428571,896.0,896.0
