BAR,BRI,BUI,CLO,FAB,FLO,FOO,GRA,LEA,MET,MIS,PAI,SAN,STO,TER,TIL,WAT,WHE,WOO,accuracy,macro avg,weighted avg
0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.5,0.5,0.4,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.38235294117647056,0.3192982456140351,0.36372549019607847
0.0,0.0,1.0,0.0,0.5,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.38235294117647056,0.3771929824561403,0.38235294117647056
0.0,0.0,1.0,0.0,0.5714285714285715,0.0,0.5,0.6666666666666666,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,0.38235294117647056,0.3283208020050125,0.35644257703081234
3.0,2.0,2.0,0.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.38235294117647056,34.0,34.0
