BAR,BRI,BUB,GRA,LEA,PIG,RAF,SAN,STR,WAT,WEA,WOL,WOO,accuracy,macro avg,weighted avg
0.5,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.7894736842105263,0.7948717948717948,0.7982456140350876
0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.7894736842105263,0.8076923076923077,0.7894736842105263
0.5,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,0.6666666666666666,1.0,0.7894736842105263,0.7871794871794872,0.7789473684210527
2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.7894736842105263,19.0,19.0
