BAR,BRI,BUB,GRA,LEA,PIG,RAF,SAN,STR,WAT,WEA,WOL,WOO,accuracy,macro avg,weighted avg
0.6666666666666666,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.0,0.7894736842105263,0.7307692307692307,0.7982456140350878
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.0,0.7894736842105263,0.7692307692307693,0.7894736842105263
0.8,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,0.7894736842105263,0.7153846153846153,0.7596491228070176
2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.7894736842105263,19.0,19.0
